id,title,severity,active,verified,is_mitigated,display_status,test,scan_type,tool,cwe,vuln_id_from_tool,created,date,sla_expiration_date,line,file_path,url
57,GHSA-grv7-fg5c-xmjg in braces:2.3.2,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-grv7-fg5c-xmjg,2026-04-14T11:35:38.937696Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/braces/package.json,
58,GHSA-fvqr-27wr-82fm in lodash:2.4.2,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-fvqr-27wr-82fm,2026-04-14T11:35:39.000194Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/sanitize-html/node_modules/lodash/package.json,
59,GHSA-25hc-qcg6-38wj in socket.io:3.1.2,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-25hc-qcg6-38wj,2026-04-14T11:35:39.059950Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/socket.io/package.json,
60,CVE-2018-20796 in libc6:2.36-9+deb12u10,Info,True,False,False,Active,5,Anchore Grype,Grype,0,CVE-2018-20796,2026-04-14T11:35:39.118195Z,2026-04-14,,,/var/lib/dpkg/status.d/libc6,
61,GHSA-pxg6-pf52-xh8x in cookie:0.4.2,Low,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-pxg6-pf52-xh8x,2026-04-14T11:35:39.168479Z,2026-04-14,2026-08-12,,/juice-shop/node_modules/engine.io/node_modules/cookie/package.json,
62,CVE-2025-69420 in libssl3:3.0.17-1~deb12u2,High,True,False,False,Active,5,Anchore Grype,Grype,0,CVE-2025-69420,2026-04-14T11:35:39.228992Z,2026-04-14,2026-05-14,,/var/lib/dpkg/status.d/libssl3,
63,GHSA-8cf7-32gw-wr33 in jsonwebtoken:0.1.0,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-8cf7-32gw-wr33,2026-04-14T11:35:39.284641Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/express-jwt/node_modules/jsonwebtoken/package.json,
64,GHSA-8cf7-32gw-wr33 in jsonwebtoken:0.4.0,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-8cf7-32gw-wr33,2026-04-14T11:35:39.338986Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/jsonwebtoken/package.json,
65,GHSA-vghf-hv5q-vc2g in validator:13.15.15,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-vghf-hv5q-vc2g,2026-04-14T11:35:39.403316Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/validator/package.json,
66,GHSA-g5hg-p3ph-g8qg in multer:1.4.5-lts.2,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-g5hg-p3ph-g8qg,2026-04-14T11:35:39.471521Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/multer/package.json,
67,GHSA-952p-6rrq-rcjv in micromatch:3.1.10,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-952p-6rrq-rcjv,2026-04-14T11:35:39.527378Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/micromatch/package.json,
68,CVE-2025-59465 in node:22.18.0,High,True,False,False,Active,5,Anchore Grype,Grype,0,CVE-2025-59465,2026-04-14T11:35:39.597878Z,2026-04-14,2026-05-14,,/nodejs/bin/node,
69,CVE-2025-69421 in libssl3:3.0.17-1~deb12u2,High,True,False,False,Active,5,Anchore Grype,Grype,0,CVE-2025-69421,2026-04-14T11:35:39.662141Z,2026-04-14,2026-05-14,,/var/lib/dpkg/status.d/libssl3,
70,CVE-2025-69419 in libssl3:3.0.17-1~deb12u2,High,True,False,False,Active,5,Anchore Grype,Grype,0,CVE-2025-69419,2026-04-14T11:35:39.718329Z,2026-04-14,2026-05-14,,/var/lib/dpkg/status.d/libssl3,
71,CVE-2019-9192 in libc6:2.36-9+deb12u10,Info,True,False,False,Active,5,Anchore Grype,Grype,0,CVE-2019-9192,2026-04-14T11:35:39.772604Z,2026-04-14,,,/var/lib/dpkg/status.d/libc6,
72,CVE-2019-1010025 in libc6:2.36-9+deb12u10,Info,True,False,False,Active,5,Anchore Grype,Grype,0,CVE-2019-1010025,2026-04-14T11:35:39.840824Z,2026-04-14,,,/var/lib/dpkg/status.d/libc6,
73,GHSA-3ppc-4f35-3m26 in minimatch:3.0.5,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-3ppc-4f35-3m26,2026-04-14T11:35:39.896656Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/replace/node_modules/minimatch/package.json,
74,GHSA-3ppc-4f35-3m26 in minimatch:3.0.8,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-3ppc-4f35-3m26,2026-04-14T11:35:39.954828Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/grunt/node_modules/minimatch/package.json,
75,GHSA-3ppc-4f35-3m26 in minimatch:3.1.2,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-3ppc-4f35-3m26,2026-04-14T11:35:40.013246Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/sqlite3/node_modules/minimatch/package.json,
76,GHSA-3ppc-4f35-3m26 in minimatch:5.1.6,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-3ppc-4f35-3m26,2026-04-14T11:35:40.073298Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/filehound/node_modules/minimatch/package.json,
77,GHSA-3ppc-4f35-3m26 in minimatch:9.0.5,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-3ppc-4f35-3m26,2026-04-14T11:35:40.130254Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/glob/node_modules/minimatch/package.json,
78,CVE-2025-15281 in libc6:2.36-9+deb12u10,High,True,False,False,Active,5,Anchore Grype,Grype,0,CVE-2025-15281,2026-04-14T11:35:40.188192Z,2026-04-14,2026-05-14,,/var/lib/dpkg/status.d/libc6,
79,CVE-2026-22796 in libssl3:3.0.17-1~deb12u2,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,CVE-2026-22796,2026-04-14T11:35:40.238059Z,2026-04-14,2026-07-13,,/var/lib/dpkg/status.d/libssl3,
80,GHSA-r5mx-6wc6-7h9w in dottie:2.0.6,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-r5mx-6wc6-7h9w,2026-04-14T11:35:40.293178Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/dottie/package.json,
81,GHSA-44fp-w29j-9vj5 in multer:1.4.5-lts.2,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-44fp-w29j-9vj5,2026-04-14T11:35:40.352695Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/multer/package.json,
82,GHSA-v52c-386h-88mc in multer:1.4.5-lts.2,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-v52c-386h-88mc,2026-04-14T11:35:40.422026Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/multer/package.json,
83,GHSA-xf7r-hgr6-v32p in multer:1.4.5-lts.2,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-xf7r-hgr6-v32p,2026-04-14T11:35:40.480906Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/multer/package.json,
84,GHSA-7r86-cg39-jmmj in minimatch:3.0.5,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-7r86-cg39-jmmj,2026-04-14T11:35:40.537534Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/replace/node_modules/minimatch/package.json,
85,GHSA-7r86-cg39-jmmj in minimatch:3.0.8,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-7r86-cg39-jmmj,2026-04-14T11:35:40.595604Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/grunt/node_modules/minimatch/package.json,
86,GHSA-7r86-cg39-jmmj in minimatch:3.1.2,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-7r86-cg39-jmmj,2026-04-14T11:35:40.651684Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/sqlite3/node_modules/minimatch/package.json,
87,GHSA-7r86-cg39-jmmj in minimatch:5.1.6,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-7r86-cg39-jmmj,2026-04-14T11:35:40.711987Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/filehound/node_modules/minimatch/package.json,
88,GHSA-7r86-cg39-jmmj in minimatch:9.0.5,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-7r86-cg39-jmmj,2026-04-14T11:35:40.796974Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/glob/node_modules/minimatch/package.json,
89,CVE-2019-1010024 in libc6:2.36-9+deb12u10,Info,True,False,False,Active,5,Anchore Grype,Grype,0,CVE-2019-1010024,2026-04-14T11:35:40.863112Z,2026-04-14,,,/var/lib/dpkg/status.d/libc6,
90,GHSA-99p7-6v5w-7xg8 in vm2:3.9.17,Critical,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-99p7-6v5w-7xg8,2026-04-14T11:35:40.912837Z,2026-04-14,2026-04-21,,/juice-shop/node_modules/vm2/package.json,
91,GHSA-23c5-xmqv-rm74 in minimatch:3.0.5,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-23c5-xmqv-rm74,2026-04-14T11:35:40.980337Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/replace/node_modules/minimatch/package.json,
92,GHSA-23c5-xmqv-rm74 in minimatch:3.0.8,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-23c5-xmqv-rm74,2026-04-14T11:35:41.045627Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/grunt/node_modules/minimatch/package.json,
93,GHSA-23c5-xmqv-rm74 in minimatch:3.1.2,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-23c5-xmqv-rm74,2026-04-14T11:35:41.115641Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/archiver/node_modules/minimatch/package.json,
94,GHSA-23c5-xmqv-rm74 in minimatch:5.1.6,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-23c5-xmqv-rm74,2026-04-14T11:35:41.175844Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/filehound/node_modules/minimatch/package.json,
95,GHSA-23c5-xmqv-rm74 in minimatch:9.0.5,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-23c5-xmqv-rm74,2026-04-14T11:35:41.239598Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/glob/node_modules/minimatch/package.json,
96,GHSA-hjrf-2m68-5959 in jsonwebtoken:0.1.0,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-hjrf-2m68-5959,2026-04-14T11:35:41.298704Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/express-jwt/node_modules/jsonwebtoken/package.json,
97,GHSA-hjrf-2m68-5959 in jsonwebtoken:0.4.0,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-hjrf-2m68-5959,2026-04-14T11:35:41.360195Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/jsonwebtoken/package.json,
98,GHSA-5j98-mcp5-4vw2 in glob:10.4.5,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-5j98-mcp5-4vw2,2026-04-14T11:35:41.426579Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/glob/package.json,
